,dataset,condition,label,evoked,subject,evoked_path
64,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=59), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A07,evokeds/CVSA-ERP/A07_split ($d=3$)_distractor.fif
65,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=54), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_overt_target.fif
66,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=265), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_overt_non-target.fif
67,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=268), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_covert_non-target.fif
68,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=52), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_covert_target.fif
69,CVSA-ERP,split ($d=1$),distractor,"<Evoked | 'non-target' (average, N=76), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_split ($d=1$)_distractor.fif
70,CVSA-ERP,split ($d=1$),non-target,"<Evoked | 'non-target' (average, N=300), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_split ($d=1$)_non-target.fif
71,CVSA-ERP,split ($d=1$),target,"<Evoked | 'target' (average, N=71), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_split ($d=1$)_target.fif
72,CVSA-ERP,split ($d=2$),target,"<Evoked | 'target' (average, N=93), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_split ($d=2$)_target.fif
73,CVSA-ERP,split ($d=2$),non-target,"<Evoked | 'non-target' (average, N=381), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_split ($d=2$)_non-target.fif
74,CVSA-ERP,split ($d=2$),distractor,"<Evoked | 'non-target' (average, N=96), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_split ($d=2$)_distractor.fif
75,CVSA-ERP,split ($d=3$),non-target,"<Evoked | 'non-target' (average, N=163), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_split ($d=3$)_non-target.fif
76,CVSA-ERP,split ($d=3$),distractor,"<Evoked | 'non-target' (average, N=44), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_split ($d=3$)_distractor.fif
77,CVSA-ERP,split ($d=3$),target,"<Evoked | 'target' (average, N=42), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A15,evokeds/CVSA-ERP/A15_split ($d=3$)_target.fif
78,CVSA-ERP,overt,non-target,"<Evoked | 'non-target' (average, N=295), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_overt_non-target.fif
79,CVSA-ERP,overt,target,"<Evoked | 'target' (average, N=58), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_overt_target.fif
80,CVSA-ERP,covert,non-target,"<Evoked | 'non-target' (average, N=250), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_covert_non-target.fif
81,CVSA-ERP,covert,target,"<Evoked | 'target' (average, N=50), -0.195 – 0.9975 s, baseline -0.2 – 0 s, 15 ch, ~67 kB>",A04,evokeds/CVSA-ERP/A04_covert_target.fif
