,time,actual,count,condition,subject
297,3534.9116046,14,13,split/2,A17
298,3576.1671928999995,11,11,covert,A17
299,3622.0251939,10,10,overt,A17
300,3660.5973578,14,14,split/1,A17
301,3701.0054809,10,9,split/2,A17
302,3738.3160922,14,14,split/1,A17
303,3776.1468408,14,14,covert,A17
304,3815.8136251,13,12,split/2,A17
305,3864.0056097,11,11,split/1,A17
306,3902.3513577,10,8,covert,A17
307,3939.6474948,12,11,overt,A17
308,3976.6093026,13,11,overt,A17
309,4307.9340819,10,10,covert,A17
310,4350.6352139,11,11,covert,A17
311,4387.748721999999,11,11,covert,A17
312,4427.6993403,12,12,split/2,A17
313,4468.1527408,13,13,split/2,A17
314,4511.4711963,15,15,split/3,A17
315,4555.407299099999,11,9,split/2,A17
316,4594.9684524,10,10,overt,A17
317,4633.4129284,11,10,split/1,A17
318,4672.054739,12,12,split/1,A17
319,4711.0653385,15,15,split/2,A17
320,4749.270694,12,12,split/1,A17
321,4785.0784819,10,9,split/1,A17
322,4824.6403341,15,14,split/3,A17
323,5024.8626952,14,13,split/2,A17
324,5066.153641299999,12,12,split/3,A17
325,5101.4205947,13,13,split/2,A17
326,5140.5473106,15,14,split/3,A17
327,5177.979641999999,10,10,split/2,A17
328,5213.763203699999,11,10,split/3,A17
329,5254.9081959,14,13,split/2,A17
330,5292.1689631,12,12,overt,A17
331,5330.642590099999,11,11,split/2,A17
332,5368.3271639,13,12,split/3,A17
333,5406.2205017,14,14,overt,A17
334,5446.626472999999,11,11,split/1,A17
335,5488.0485346,11,11,split/1,A17
336,1358.0665331000346,13,13,covert,A18
337,1398.7360028999974,10,10,split/2,A18
338,1440.0777544000302,14,14,split/2,A18
339,1481.8914680000162,10,10,split/1,A18
340,1522.9645644000266,13,13,split/2,A18
341,1561.756374200049,12,12,split/1,A18
342,1600.8945643000188,10,10,split/2,A18
343,1643.480316300003,15,15,split/1,A18
344,1685.999799500045,13,13,overt,A18
345,1725.374002000026,15,15,split/1,A18
346,1765.4923694000463,13,12,split/2,A18
347,1804.9090414000093,12,12,split/3,A18
348,1845.37883240002,13,13,split/1,A18
349,1889.103256900038,15,15,overt,A18
350,1929.8820624999933,13,13,covert,A18
351,2019.2758226000003,11,11,split/1,A18
352,2057.1340563000413,11,11,overt,A18
353,2095.879753100045,12,12,covert,A18
354,2133.319962400012,14,14,split/1,A18
355,2170.951773200009,13,13,split/1,A18
356,2209.602937000047,10,9,split/1,A18
357,2252.689175600012,15,15,split/1,A18
358,2289.8550954000093,13,13,split/3,A18
359,2331.0987004000344,12,11,split/1,A18
360,2369.4813919000444,10,10,split/1,A18
361,2408.574520500028,12,12,split/2,A18
362,2446.076546700031,11,11,split/2,A18
363,2484.311971400049,12,11,covert,A18
364,2523.3128832000075,10,9,split/2,A18
365,2626.8139164000168,14,14,covert,A18
366,2668.2479947000397,14,13,overt,A18
367,2707.536037600017,10,10,split/3,A18
368,2745.7605620000395,13,13,split/3,A18
369,2781.990294700023,13,13,split/2,A18
370,2821.0645642000018,12,12,covert,A18
371,2856.946425400034,11,11,split/3,A18
372,2898.790387700021,12,12,overt,A18
373,2936.350211700017,11,11,split/2,A18
374,2975.694459900027,12,12,overt,A18
375,3013.7406122999964,11,11,split/2,A18
376,3053.4983880000077,11,11,split/3,A18
377,3095.2601878000423,10,9,split/2,A18
378,595.3082110881805,12,13,split/2,A09
379,636.5938069820404,13,13,split/1,A09
380,677.2828409671783,14,14,split/2,A09
381,719.3301870822906,15,15,split/2,A09
382,758.0009589195251,12,12,split/1,A09
383,801.1856069564819,14,14,split/3,A09
384,841.979334115982,14,14,split/1,A09
385,881.9765939712524,15,15,split/2,A09
386,921.3988471031188,12,12,split/3,A09
387,960.6266870498656,11,11,split/2,A09
388,1004.4682121276855,14,13,split/1,A09
389,1044.0168809890747,11,11,covert,A09
390,1082.0295779705048,12,11,covert,A09
391,1122.3063869476318,10,10,overt,A09
392,1160.1261250972748,13,13,split/1,A09
393,1333.328628063202,13,14,split/2,A09
394,1380.470400094986,15,14,split/3,A09
395,1426.3867111206057,10,10,covert,A09
396,1492.5809869766235,10,10,overt,A09
397,1532.2275390625,10,10,split/3,A09
398,1574.7670011520386,13,13,split/2,A09
399,1616.798201084137,11,11,split/1,A09
400,1659.2214999198914,13,13,split/3,A09
401,1701.694391965866,12,12,split/2,A09
402,1743.6173391342163,12,12,overt,A09
403,1786.3153040409088,15,15,split/3,A09
404,1827.5699861049648,15,15,overt,A09
405,1866.518754005432,14,14,split/1,A09
406,1906.6882820129397,12,12,split/2,A09
407,2092.0802841186523,12,12,split/1,A09
408,2134.953444004059,15,15,covert,A09
409,2173.8741409778595,10,10,split/1,A09
410,2214.6882791519165,13,13,split/1,A09
411,2254.534583091736,14,14,covert,A09
412,2295.557837963104,12,12,split/2,A09
413,2336.724806070328,15,15,covert,A09
414,2377.9339950084686,14,14,split/2,A09
415,2417.5088889598846,11,11,overt,A09
416,2458.036642074585,10,10,split/1,A09
417,2500.8187890052795,14,13,split/1,A09
418,2542.231256008148,10,10,overt,A09
419,2582.50332403183,15,15,split/2,A09
420,860.079167842865,15,14,split/2,A04
421,909.0133860111235,15,15,split/2,A04
422,948.735144853592,13,13,split/2,A04
423,984.3958358764648,14,14,split/2,A04
424,1021.408119916916,11,11,split/1,A04
425,1108.3058638572693,10,10,overt,A04
426,1152.7711420059204,10,10,overt,A04
427,1207.2253320217133,15,15,split/3,A04
428,1258.353353023529,14,14,covert,A04
429,1301.951494932175,15,16,split/3,A04
430,1345.2826609611511,14,14,split/2,A04
431,1388.772712945938,14,14,split/3,A04
432,1435.1567409038544,11,10,split/2,A04
433,1475.719962835312,13,13,overt,A04
434,1517.4348468780518,14,14,split/1,A04
435,1887.6263599395752,12,12,split/1,A04
436,1923.487708806992,12,12,covert,A04
437,1962.0416657924648,14,13,split/1,A04
438,1997.9446218013763,10,9,split/1,A04
439,2037.45791888237,12,12,split/1,A04
440,2129.2577109336853,12,13,split/3,A04
441,2183.578828811645,15,13,split/3,A04
442,2249.788990020752,10,10,split/1,A04
