,fit_time,score_time,test_score,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
135,0.48767948150634766,0.011080265045166016,0.875,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
136,0.4599952697753906,0.01284170150756836,0.8863049095607235,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
137,0.7431402206420898,0.024204730987548828,0.8268733850129198,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
138,0.5809130668640137,0.019665956497192383,0.8294573643410853,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
139,0.34312868118286133,0.008809804916381836,0.8552971576227391,PB02,01,cvsa,,,ica,,,,,overt,WCBLE
150,0.46053099632263184,0.011528968811035156,0.9043927648578811,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
151,0.3525831699371338,0.011610031127929688,0.6873385012919897,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
152,0.3034181594848633,0.011674165725708008,0.7390180878552972,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
153,0.5148389339447021,0.011230707168579102,0.5968992248062015,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
154,0.4204857349395752,0.011576652526855469,0.6330749354005168,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
155,0.4108586311340332,0.011499404907226562,0.6149870801033592,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
156,0.35770654678344727,0.011464357376098633,0.7383720930232557,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
157,0.35993313789367676,0.011591911315917969,0.8459302325581395,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
158,0.4774739742279053,0.012929201126098633,0.5843023255813953,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
159,0.47631382942199707,0.012297391891479492,0.6851851851851851,PB02,01,cvsa,,,ica,,,,,covert,WCBLE
170,0.6863856315612793,0.015013933181762695,0.7772727272727273,PB02,01,cvsa,,,ica,,,,,free,WCBLE
171,0.6219923496246338,0.012782812118530273,0.6477272727272727,PB02,01,cvsa,,,ica,,,,,free,WCBLE
172,0.46405935287475586,0.015184879302978516,0.8409090909090908,PB02,01,cvsa,,,ica,,,,,free,WCBLE
173,0.506066083908081,0.011808156967163086,0.7651515151515152,PB02,01,cvsa,,,ica,,,,,free,WCBLE
174,0.689288854598999,0.012336015701293945,0.5883838383838383,PB02,01,cvsa,,,ica,,,,,free,WCBLE
175,0.6697862148284912,0.012335777282714844,0.8712121212121212,PB02,01,cvsa,,,ica,,,,,free,WCBLE
176,0.688385009765625,0.016619443893432617,0.7697674418604651,PB02,01,cvsa,,,ica,,,,,free,WCBLE
177,0.5928947925567627,0.011877059936523438,0.8558139534883722,PB02,01,cvsa,,,ica,,,,,free,WCBLE
178,0.430774450302124,0.01186513900756836,0.8930232558139535,PB02,01,cvsa,,,ica,,,,,free,WCBLE
179,0.5970454216003418,0.017844438552856445,0.8790697674418605,PB02,01,cvsa,,,ica,,,,,free,WCBLE
190,0.48177623748779297,0.012630701065063477,0.5151515151515151,PB03,01,cvsa,,,ica,,,,,overt,WCBLE
191,0.5578663349151611,0.012486696243286133,0.24999999999999997,PB03,01,cvsa,,,ica,,,,,overt,WCBLE
192,0.4391608238220215,0.01321268081665039,0.6338383838383839,PB03,01,cvsa,,,ica,,,,,overt,WCBLE
193,0.696038007736206,0.011775970458984375,0.5252525252525253,PB03,01,cvsa,,,ica,,,,,overt,WCBLE
194,0.4922497272491455,0.011232614517211914,0.5757575757575757,PB03,01,cvsa,,,ica,,,,,overt,WCBLE
195,0.3699162006378174,0.011773109436035156,0.5353535353535354,PB03,01,cvsa,,,ica,,,,,overt,WCBLE
196,0.3774094581604004,0.01251530647277832,0.6338383838383839,PB03,01,cvsa,,,ica,,,,,overt,WCBLE
197,0.7095725536346436,0.011523723602294922,0.6414141414141414,PB03,01,cvsa,,,ica,,,,,overt,WCBLE
198,0.44575071334838867,0.013439178466796875,0.6221590909090908,PB03,01,cvsa,,,ica,,,,,overt,WCBLE
199,0.28803467750549316,0.011445045471191406,0.40909090909090906,PB03,01,cvsa,,,ica,,,,,overt,WCBLE
210,0.32630276679992676,0.011394977569580078,0.6888888888888889,PB03,01,cvsa,,,ica,,,,,covert,WCBLE
211,0.41005492210388184,0.012222528457641602,0.47160493827160493,PB03,01,cvsa,,,ica,,,,,covert,WCBLE
212,0.5004935264587402,0.011872291564941406,0.46172839506172836,PB03,01,cvsa,,,ica,,,,,covert,WCBLE
213,0.4467332363128662,0.011453866958618164,0.6888888888888889,PB03,01,cvsa,,,ica,,,,,covert,WCBLE
214,0.4824948310852051,0.012950897216796875,0.6944444444444444,PB03,01,cvsa,,,ica,,,,,covert,WCBLE
215,0.39685845375061035,0.011756181716918945,0.6166666666666666,PB03,01,cvsa,,,ica,,,,,covert,WCBLE
216,0.4491565227508545,0.012172460556030273,0.41944444444444445,PB03,01,cvsa,,,ica,,,,,covert,WCBLE
217,0.5409185886383057,0.011979103088378906,0.7555555555555555,PB03,01,cvsa,,,ica,,,,,covert,WCBLE
218,0.6183130741119385,0.012000083923339844,0.42929292929292934,PB03,01,cvsa,,,ica,,,,,covert,WCBLE
219,0.6106603145599365,0.012312173843383789,0.5757575757575757,PB03,01,cvsa,,,ica,,,,,covert,WCBLE
