,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
47,7,8,"(8, 4, 8)",0.00012137170049650247,0.37276054944091735,2.6363528382346918e-06,2.577135081711181e-06,2.57713508171118e-06,BNCI2014-001,3,0train
48,8,9,"(1, 1, 1)",0.00012137170147323494,0.3729241130401592,3.2335850735656852e-06,2.575685735685679e-06,2.5756857356856776e-06,BNCI2014-001,3,0train
49,9,10,"(4, 4, 4)",0.00012137171036027933,0.38337881007254254,3.309360997350397e-06,2.5286271000471724e-06,2.528627100047171e-06,BNCI2014-001,3,0train
50,0,1,"(8, 4, 8)",0.0025951778725036454,0.12940573057481958,0.1772412613046604,0.7571846769052175,0.7571846769052173,BNCI2014-001,3,1test
51,1,2,"(1, 1, 1)",0.0027296479971628805,0.15221853683537453,0.1473601895387051,0.754804244083075,0.7548042440830748,BNCI2014-001,3,1test
52,2,3,"(8, 4, 8)",0.002535911378347303,0.2236375131887369,0.07823976173103163,0.7273781474469837,0.7273781474469836,BNCI2014-001,3,1test
53,3,4,"(2, 2, 2)",0.002538940268677479,0.23693598957702638,0.07375282172371346,0.7210842216334726,0.7210842216334725,BNCI2014-001,3,1test
54,4,5,"(2, 2, 2)",0.0025550276746934943,0.23974576245531556,0.072937655749113,0.7170180559902833,0.7170180559902832,BNCI2014-001,3,1test
55,5,6,"(1, 1, 1)",0.002561899851817449,0.2524066462114714,0.05171986059821796,0.7126823585882506,0.7126823585882505,BNCI2014-001,3,1test
56,6,7,"(2, 2, 2)",0.0025763668283076907,0.254362030629801,0.05381035824760746,0.7099017328748158,0.7099017328748157,BNCI2014-001,3,1test
57,7,8,"(2, 2, 2)",0.002584524979316883,0.2564869077033056,0.05489869271271039,0.7068571994146587,0.7068571994146586,BNCI2014-001,3,1test
58,8,9,"(1, 1, 1)",0.002586806570908227,0.2661468579759318,0.05032944499243027,0.7038181518627278,0.7038181518627277,BNCI2014-001,3,1test
59,9,10,"(4, 4, 4)",0.002534492227334306,0.28590355678310836,0.040797565565737055,0.6935882605126751,0.693588260512675,BNCI2014-001,3,1test
60,0,1,"(4, 4, 4)",0.0013716206854693569,0.023436628626002928,0.7777030994079337,0.9136470564193495,0.91364705641935,BNCI2014-001,4,0train
61,1,2,"(2, 2, 2)",0.0014584151490298677,0.033952213086575575,0.6301463471772232,0.909503159818612,0.9095031598186124,BNCI2014-001,4,0train
62,2,3,"(2, 2, 2)",0.0015060212615456068,0.04160473611544716,0.5575115992924918,0.8987662451541633,0.8987662451541637,BNCI2014-001,4,0train
63,3,4,"(8, 4, 8)",0.0006717968923349243,0.11070260204398058,0.11888406661102476,0.7970087730574626,0.797008773057463,BNCI2014-001,4,0train
