,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
317,3,"(8, 48)",2,0.9210927535076531,0.8536670918367347,1024,0.8602755102040818,BNCI2014-008,7,0
318,3,"(8, 48)",3,0.9170031489158165,0.8736926020408163,1024,0.8740204081632653,BNCI2014-008,7,0
319,3,"(8, 48)",4,0.911961894132653,0.8856823979591837,1024,0.8693061224489798,BNCI2014-008,7,0
320,4,"(8, 8)",0,0.9219417649872449,0.8711575255102042,1088,0.8590714285714287,BNCI2014-008,7,0
321,4,"(8, 8)",1,0.9193638392857143,0.8666135204081633,1088,0.8743367346938775,BNCI2014-008,7,0
322,4,"(8, 8)",2,0.9221430564413265,0.8552614795918367,1088,0.8573673469387755,BNCI2014-008,7,0
323,4,"(8, 8)",3,0.918587571747449,0.874234693877551,1088,0.8736734693877551,BNCI2014-008,7,0
324,4,"(8, 8)",4,0.9153130978954082,0.8875956632653061,1088,0.8673367346938775,BNCI2014-008,7,0
325,5,"(1, 1)",0,0.9230927136479592,0.8737882653061224,1089,0.8609489795918368,BNCI2014-008,7,0
326,5,"(1, 1)",1,0.922053372130102,0.8675063775510204,1089,0.8754897959183674,BNCI2014-008,7,0
327,5,"(1, 1)",2,0.922542649872449,0.8532366071428572,1089,0.8564489795918367,BNCI2014-008,7,0
328,5,"(1, 1)",3,0.9200593909438776,0.876530612244898,1089,0.8747551020408163,BNCI2014-008,7,0
329,5,"(1, 1)",4,0.9155921157525512,0.8869738520408164,1089,0.8668265306122449,BNCI2014-008,7,0
330,6,"(1, 1)",0,0.9230428890306123,0.8736607142857142,1090,0.8608877551020409,BNCI2014-008,7,0
331,6,"(1, 1)",1,0.9220742984693877,0.8667091836734694,1090,0.8756020408163266,BNCI2014-008,7,0
332,6,"(1, 1)",2,0.9225795200892857,0.8536989795918368,1090,0.8566326530612245,BNCI2014-008,7,0
333,6,"(1, 1)",3,0.9222805723852041,0.8782206632653061,1090,0.8734795918367347,BNCI2014-008,7,0
334,6,"(1, 1)",4,0.9156349649234694,0.8869260204081632,1090,0.8666224489795918,BNCI2014-008,7,0
335,7,"(1, 1)",0,0.9238081951530611,0.8725924744897958,1091,0.8606530612244898,BNCI2014-008,7,0
336,7,"(1, 1)",1,0.9232999840561225,0.8674107142857143,1091,0.8775408163265306,BNCI2014-008,7,0
337,7,"(1, 1)",2,0.9233806999362245,0.85234375,1091,0.8556020408163265,BNCI2014-008,7,0
338,7,"(1, 1)",3,0.9231883769132654,0.8792410714285716,1091,0.8730510204081634,BNCI2014-008,7,0
339,7,"(1, 1)",4,0.9157156808035715,0.8871173469387755,1091,0.8666938775510205,BNCI2014-008,7,0
340,8,"(2, 2)",0,0.9236916055484694,0.87265625,1095,0.8615102040816327,BNCI2014-008,7,0
341,8,"(2, 2)",1,0.9233916613520408,0.8669483418367347,1095,0.8767142857142858,BNCI2014-008,7,0
