,index,block,rank,F_tr,F_rt,log_loss,mse,nmse,dataset,subject,session
63,3,4,"(8, 48)",1.041200046770744e-06,0.000551077798651168,0.22725675349666544,1.6874591177563548e-10,1.6874591177563455e-10,BNCI2014-008,7,0
64,4,5,"(8, 8)",1.0412000467910928e-06,0.0005538027470133306,0.22718936033622691,1.6382479615280987e-10,1.6382479615280896e-10,BNCI2014-008,7,0
65,5,6,"(1, 1)",1.0412000467912224e-06,0.0005538431959381007,0.22716526456562977,1.635578769323529e-10,1.63557876932352e-10,BNCI2014-008,7,0
66,6,7,"(1, 1)",1.0412000467912821e-06,0.0005538835828078964,0.227153541929398,1.63521329911275e-10,1.635213299112741e-10,BNCI2014-008,7,0
67,7,8,"(1, 1)",1.0412000467913323e-06,0.0005539239077703671,0.22721659142172743,1.6339892268172551e-10,1.633989226817246e-10,BNCI2014-008,7,0
68,8,9,"(2, 2)",1.0412000467913704e-06,0.0005540845914824889,0.22727557107233548,1.632780777583965e-10,1.632780777583956e-10,BNCI2014-008,7,0
69,9,10,"(2, 2)",1.041200046791444e-06,0.0005542442963630882,0.2273636012580438,1.626465000288998e-10,1.626465000288989e-10,BNCI2014-008,7,0
70,0,1,"(8, 48)",1.982761696271207e-06,0.0009016537234693931,0.15295476867666377,2.8686934500102697e-05,2.8686934500102653e-05,BNCI2014-008,8,0
71,1,2,"(1, 1)",1.9827626961440156e-06,0.0009018319583999833,0.15354629903482575,2.862106264749809e-05,2.8621062647498045e-05,BNCI2014-008,8,0
72,2,3,"(4, 4)",1.9827638092778435e-06,0.0009045688559773482,0.14796231533316692,2.7907429563468728e-05,2.7907429563468684e-05,BNCI2014-008,8,0
73,3,4,"(2, 2)",1.98276389265711e-06,0.0009052215144616073,0.1474358819134148,2.7886822917611492e-05,2.7886822917611448e-05,BNCI2014-008,8,0
74,4,5,"(1, 1)",1.9827639047574205e-06,0.0009053828112629725,0.14693559844539192,2.78479022025266e-05,2.7847902202526557e-05,BNCI2014-008,8,0
75,5,6,"(4, 4)",1.9827639395010298e-06,0.000907866533341515,0.14396155935929045,2.7710859029023208e-05,2.7710859029023164e-05,BNCI2014-008,8,0
76,6,7,"(4, 4)",1.9827639741491937e-06,0.0009101812550602084,0.1411889025943307,2.7660311645348243e-05,2.76603116453482e-05,BNCI2014-008,8,0
77,7,8,"(2, 2)",1.9827639837006625e-06,0.0009107356256707664,0.14085462469674467,2.764506509400973e-05,2.7645065094009685e-05,BNCI2014-008,8,0
78,8,9,"(2, 2)",1.9827639918885175e-06,0.0009112807851759441,0.14062723175888303,2.7622844066421077e-05,2.7622844066421033e-05,BNCI2014-008,8,0
79,9,10,"(8, 8)",1.982764050015023e-06,0.0009189224331350342,0.13872169435707754,2.6931346379222654e-05,2.6931346379222614e-05,BNCI2014-008,8,0
80,0,1,"(2, 2)",6.0909558232708135e-05,0.00014789782209125507,0.10629788959205438,0.9846312199821616,0.9846312199821617,BNCI2015-003,1,0
81,1,2,"(1, 1)",5.66986801447785e-05,0.00022543154493450903,0.0974796235552027,0.982739893248907,0.9827398932489071,BNCI2015-003,1,0
82,2,3,"(8, 8)",9.398258813956408e-06,0.00029072934870442605,0.08880754495722618,0.8946513969550474,0.8946513969550475,BNCI2015-003,1,0
83,3,4,"(1, 1)",9.411187227170427e-06,0.0003272246344744785,0.08513332374287738,0.8937763440765799,0.89377634407658,BNCI2015-003,1,0
84,4,5,"(1, 1)",9.428664269033819e-06,0.0003538151113488812,0.08253935322549436,0.8908262629756503,0.8908262629756504,BNCI2015-003,1,0
85,5,6,"(8, 39)",5.133391552670563e-07,0.0003996213365511516,0.07463505381171358,1.386217171392017e-05,1.3862171713920171e-05,BNCI2015-003,1,0
86,6,7,"(8, 39)",5.133375921330626e-07,0.0004174472151965033,0.07465616254701489,2.3773915102572225e-10,2.377391510257223e-10,BNCI2015-003,1,0
87,7,8,"(8, 39)",5.133375920307075e-07,0.0004254070934457513,0.07469408408250906,3.7993753149963747e-16,3.799375314996375e-16,BNCI2015-003,1,0
88,8,9,"(4, 4)",5.133375920307079e-07,0.0004257016630179779,0.07469335121425379,3.6848794990097367e-16,3.684879499009737e-16,BNCI2015-003,1,0
89,9,10,"(8, 16)",5.133375920307077e-07,0.00042780122496661555,0.07468138649368257,3.138343321342008e-16,3.1383433213420083e-16,BNCI2015-003,1,0
90,0,1,"(1, 1)",0.00023421076655777642,0.00046824804365884335,0.07260025214856489,0.9910098486726489,0.9910098486726491,BNCI2015-003,2,0
91,1,2,"(1, 1)",0.00018330255327182884,0.0006002832651598399,0.06272976873123748,0.9715160138139929,0.9715160138139931,BNCI2015-003,2,0
92,2,3,"(4, 4)",6.754442237851295e-05,0.0006576197636585062,0.05752648020324239,0.9592663308433029,0.9592663308433031,BNCI2015-003,2,0
93,3,4,"(8, 8)",8.117684004376836e-06,0.0007001592409997066,0.05414309044955125,0.9077732494394485,0.9077732494394487,BNCI2015-003,2,0
94,4,5,"(2, 2)",8.134981706753147e-06,0.0007262688785558305,0.05259651042456488,0.9064003745875545,0.9064003745875547,BNCI2015-003,2,0
95,5,6,"(8, 39)",3.897782960123219e-07,0.0007994013674652788,0.04755933416642558,3.911328090429904e-05,3.9113280904299045e-05,BNCI2015-003,2,0
96,6,7,"(2, 2)",3.8977832851779924e-07,0.0007998438638584672,0.047579663245153045,3.896801927804943e-05,3.8968019278049436e-05,BNCI2015-003,2,0
