,stc,snr,jitter,method,rho,fold
322,gaussian,-5,0.2,CBLE-mode,0.9674921110707297,2
323,gaussian,-5,0.2,CBLE-mode,0.9378723618394365,3
324,gaussian,-5,0.2,CBLE-mode,0.9677954643142794,4
325,gaussian,-5,0.2,WCBLE-mode,0.9988175499255901,0
326,gaussian,-5,0.2,WCBLE-mode,0.99850617965952,1
327,gaussian,-5,0.2,WCBLE-mode,0.9978861770104304,2
328,gaussian,-5,0.2,WCBLE-mode,0.998190481957712,3
329,gaussian,-5,0.2,WCBLE-mode,0.9988787988999522,4
330,gaussian,-5,0.2,CBLE-median,0.9807605869122934,0
331,gaussian,-5,0.2,CBLE-median,0.9746305051564262,1
332,gaussian,-5,0.2,CBLE-median,0.9670607403152842,2
333,gaussian,-5,0.2,CBLE-median,0.9699590492219313,3
334,gaussian,-5,0.2,CBLE-median,0.9760874565728833,4
335,gaussian,-5,0.2,WCBLE-median,0.9988278891390615,0
336,gaussian,-5,0.2,WCBLE-median,0.9976376027418341,1
337,gaussian,-5,0.2,WCBLE-median,0.9982442056551335,2
338,gaussian,-5,0.2,WCBLE-median,0.9982186774118408,3
339,gaussian,-5,0.2,WCBLE-median,0.9976068405636733,4
340,gaussian,-5,0.3,CBLE-mode,0.9356202989134637,0
341,gaussian,-5,0.3,CBLE-mode,0.963923694098145,1
342,gaussian,-5,0.3,CBLE-mode,0.9513945651376027,2
343,gaussian,-5,0.3,CBLE-mode,0.9402559641769102,3
344,gaussian,-5,0.3,CBLE-mode,0.9647319526424912,4
345,gaussian,-5,0.3,WCBLE-mode,0.9991821072125667,0
346,gaussian,-5,0.3,WCBLE-mode,0.9991542489895386,1
347,gaussian,-5,0.3,WCBLE-mode,0.9990048734708513,2
348,gaussian,-5,0.3,WCBLE-mode,0.9992195066890507,3
349,gaussian,-5,0.3,WCBLE-mode,0.9989337762046803,4
350,gaussian,-5,0.3,CBLE-median,0.9925895921355159,0
351,gaussian,-5,0.3,CBLE-median,0.9833458037422516,1
352,gaussian,-5,0.3,CBLE-median,0.9807313032290458,2
353,gaussian,-5,0.3,CBLE-median,0.9742486026836099,3
354,gaussian,-5,0.3,CBLE-median,0.9925414693639231,4
355,gaussian,-5,0.3,WCBLE-median,0.9990949897089453,0
356,gaussian,-5,0.3,WCBLE-median,0.9990922299028681,1
357,gaussian,-5,0.3,WCBLE-median,0.9995190381776118,2
358,gaussian,-5,0.3,WCBLE-median,0.9987990226436161,3
359,gaussian,-5,0.3,WCBLE-median,0.9996569322124602,4
360,gaussian,-6,0.1,CBLE-mode,0.9649381713058697,0
361,gaussian,-6,0.1,CBLE-mode,0.9485972883098824,1
362,gaussian,-6,0.1,CBLE-mode,0.9451561571582238,2
363,gaussian,-6,0.1,CBLE-mode,0.9336834601754628,3
364,gaussian,-6,0.1,CBLE-mode,0.9535760098795147,4
365,gaussian,-6,0.1,WCBLE-mode,0.99432268626508,0
366,gaussian,-6,0.1,WCBLE-mode,0.9900173574192304,1
367,gaussian,-6,0.1,WCBLE-mode,0.9915103440003434,2
368,gaussian,-6,0.1,WCBLE-mode,0.9926183023788606,3
369,gaussian,-6,0.1,WCBLE-mode,0.9956809337656228,4
370,gaussian,-6,0.1,CBLE-median,0.9821074852580322,0
371,gaussian,-6,0.1,CBLE-median,0.9705871452970246,1
372,gaussian,-6,0.1,CBLE-median,0.9657351673908958,2
373,gaussian,-6,0.1,CBLE-median,0.9448293687552674,3
374,gaussian,-6,0.1,CBLE-median,0.971953282082398,4
375,gaussian,-6,0.1,WCBLE-median,0.9929809646336005,0
376,gaussian,-6,0.1,WCBLE-median,0.9916716797203369,1
377,gaussian,-6,0.1,WCBLE-median,0.9958455818101445,2
378,gaussian,-6,0.1,WCBLE-median,0.9957963029336481,3
379,gaussian,-6,0.1,WCBLE-median,0.9939056161866371,4
380,gaussian,-6,0.2,CBLE-mode,0.9547636080585206,0
381,gaussian,-6,0.2,CBLE-mode,0.9557271093723241,1
382,gaussian,-6,0.2,CBLE-mode,0.9674921110707297,2
383,gaussian,-6,0.2,CBLE-mode,0.9378723618394365,3
384,gaussian,-6,0.2,CBLE-mode,0.9677954643142794,4
385,gaussian,-6,0.2,WCBLE-mode,0.9989498541793354,0
386,gaussian,-6,0.2,WCBLE-mode,0.9973763235635771,1
387,gaussian,-6,0.2,WCBLE-mode,0.9986205845127906,2
388,gaussian,-6,0.2,WCBLE-mode,0.998190481957712,3
389,gaussian,-6,0.2,WCBLE-mode,0.9985379932756866,4
390,gaussian,-6,0.2,CBLE-median,0.978529817018086,0
391,gaussian,-6,0.2,CBLE-median,0.9729267414157348,1
392,gaussian,-6,0.2,CBLE-median,0.9689433862446225,2
393,gaussian,-6,0.2,CBLE-median,0.9611308290139005,3
394,gaussian,-6,0.2,CBLE-median,0.9755538800244076,4
395,gaussian,-6,0.2,WCBLE-median,0.9990194062066144,0
396,gaussian,-6,0.2,WCBLE-median,0.9978781049856196,1
397,gaussian,-6,0.2,WCBLE-median,0.9987807083450081,2
398,gaussian,-6,0.2,WCBLE-median,0.9976101561955149,3
399,gaussian,-6,0.2,WCBLE-median,0.9982456100693432,4
400,gaussian,-6,0.3,CBLE-mode,0.9356202989134637,0
401,gaussian,-6,0.3,CBLE-mode,0.963064208286454,1
402,gaussian,-6,0.3,CBLE-mode,0.9501460392166738,2
403,gaussian,-6,0.3,CBLE-mode,0.9402559641769102,3
404,gaussian,-6,0.3,CBLE-mode,0.9647319526424912,4
405,gaussian,-6,0.3,WCBLE-mode,0.9998164040772777,0
406,gaussian,-6,0.3,WCBLE-mode,0.9986323421310928,1
407,gaussian,-6,0.3,WCBLE-mode,0.9988991823434828,2
408,gaussian,-6,0.3,WCBLE-mode,0.9993762206012502,3
409,gaussian,-6,0.3,WCBLE-mode,0.9995317354372802,4
410,gaussian,-6,0.3,CBLE-median,0.991291858435996,0
411,gaussian,-6,0.3,CBLE-median,0.9833458037422516,1
412,gaussian,-6,0.3,CBLE-median,0.9807313032290458,2
413,gaussian,-6,0.3,CBLE-median,0.9742409692259004,3
414,gaussian,-6,0.3,CBLE-median,0.9912717552809617,4
