,stc,snr,jitter,method,accuracy,fold
243,sine,-4,0.1,CBLE-median,1.0,3
244,sine,-4,0.1,CBLE-median,0.95,4
245,sine,-4,0.1,CBLE-median,0.9,5
246,sine,-4,0.1,CBLE-median,0.95,6
247,sine,-4,0.1,CBLE-median,1.0,7
248,sine,-4,0.1,CBLE-median,0.95,8
249,sine,-4,0.1,CBLE-median,1.0,9
250,sine,-4,0.1,WCBLE-median,1.0,0
251,sine,-4,0.1,WCBLE-median,1.0,1
252,sine,-4,0.1,WCBLE-median,1.0,2
253,sine,-4,0.1,WCBLE-median,1.0,3
254,sine,-4,0.1,WCBLE-median,1.0,4
255,sine,-4,0.1,WCBLE-median,1.0,5
256,sine,-4,0.1,WCBLE-median,1.0,6
257,sine,-4,0.1,WCBLE-median,1.0,7
258,sine,-4,0.1,WCBLE-median,1.0,8
259,sine,-4,0.1,WCBLE-median,0.95,9
260,sine,-4,0.2,CBLE-median,0.9,0
261,sine,-4,0.2,CBLE-median,0.8,1
262,sine,-4,0.2,CBLE-median,0.95,2
263,sine,-4,0.2,CBLE-median,0.95,3
264,sine,-4,0.2,CBLE-median,0.9,4
265,sine,-4,0.2,CBLE-median,0.85,5
266,sine,-4,0.2,CBLE-median,0.9,6
267,sine,-4,0.2,CBLE-median,0.95,7
268,sine,-4,0.2,CBLE-median,0.9,8
269,sine,-4,0.2,CBLE-median,0.75,9
270,sine,-4,0.2,WCBLE-median,0.9,0
271,sine,-4,0.2,WCBLE-median,0.9,1
272,sine,-4,0.2,WCBLE-median,0.95,2
273,sine,-4,0.2,WCBLE-median,1.0,3
274,sine,-4,0.2,WCBLE-median,1.0,4
275,sine,-4,0.2,WCBLE-median,0.85,5
276,sine,-4,0.2,WCBLE-median,1.0,6
277,sine,-4,0.2,WCBLE-median,1.0,7
278,sine,-4,0.2,WCBLE-median,1.0,8
279,sine,-4,0.2,WCBLE-median,0.95,9
280,sine,-4,0.3,CBLE-median,0.8,0
281,sine,-4,0.3,CBLE-median,0.6,1
282,sine,-4,0.3,CBLE-median,0.9,2
283,sine,-4,0.3,CBLE-median,0.7,3
284,sine,-4,0.3,CBLE-median,0.85,4
285,sine,-4,0.3,CBLE-median,0.85,5
286,sine,-4,0.3,CBLE-median,0.7,6
287,sine,-4,0.3,CBLE-median,0.7,7
288,sine,-4,0.3,CBLE-median,0.8,8
289,sine,-4,0.3,CBLE-median,0.65,9
290,sine,-4,0.3,WCBLE-median,0.65,0
291,sine,-4,0.3,WCBLE-median,0.85,1
292,sine,-4,0.3,WCBLE-median,0.95,2
293,sine,-4,0.3,WCBLE-median,0.9,3
294,sine,-4,0.3,WCBLE-median,0.9,4
295,sine,-4,0.3,WCBLE-median,0.8,5
296,sine,-4,0.3,WCBLE-median,0.85,6
297,sine,-4,0.3,WCBLE-median,0.85,7
298,sine,-4,0.3,WCBLE-median,0.7,8
299,sine,-4,0.3,WCBLE-median,0.85,9
300,sine,-5,0.1,CBLE-median,0.9,0
301,sine,-5,0.1,CBLE-median,0.95,1
302,sine,-5,0.1,CBLE-median,0.95,2
303,sine,-5,0.1,CBLE-median,1.0,3
304,sine,-5,0.1,CBLE-median,0.95,4
305,sine,-5,0.1,CBLE-median,0.9,5
306,sine,-5,0.1,CBLE-median,0.95,6
307,sine,-5,0.1,CBLE-median,1.0,7
308,sine,-5,0.1,CBLE-median,0.95,8
309,sine,-5,0.1,CBLE-median,1.0,9
310,sine,-5,0.1,WCBLE-median,1.0,0
311,sine,-5,0.1,WCBLE-median,1.0,1
312,sine,-5,0.1,WCBLE-median,1.0,2
313,sine,-5,0.1,WCBLE-median,1.0,3
314,sine,-5,0.1,WCBLE-median,1.0,4
315,sine,-5,0.1,WCBLE-median,1.0,5
316,sine,-5,0.1,WCBLE-median,1.0,6
317,sine,-5,0.1,WCBLE-median,1.0,7
318,sine,-5,0.1,WCBLE-median,1.0,8
319,sine,-5,0.1,WCBLE-median,0.95,9
320,sine,-5,0.2,CBLE-median,0.9,0
321,sine,-5,0.2,CBLE-median,0.75,1
322,sine,-5,0.2,CBLE-median,0.95,2
323,sine,-5,0.2,CBLE-median,0.95,3
324,sine,-5,0.2,CBLE-median,0.85,4
325,sine,-5,0.2,CBLE-median,0.85,5
326,sine,-5,0.2,CBLE-median,0.85,6
327,sine,-5,0.2,CBLE-median,0.95,7
328,sine,-5,0.2,CBLE-median,0.9,8
329,sine,-5,0.2,CBLE-median,0.75,9
330,sine,-5,0.2,WCBLE-median,0.9,0
331,sine,-5,0.2,WCBLE-median,0.95,1
332,sine,-5,0.2,WCBLE-median,0.95,2
333,sine,-5,0.2,WCBLE-median,0.95,3
334,sine,-5,0.2,WCBLE-median,1.0,4
335,sine,-5,0.2,WCBLE-median,0.85,5
336,sine,-5,0.2,WCBLE-median,0.95,6
337,sine,-5,0.2,WCBLE-median,1.0,7
