,stc,snr,jitter,method,accuracy,fold
344,sine,-11,0.2,tlda,0.25,4
345,sine,-11,0.2,tlda,0.15,5
346,sine,-11,0.2,tlda,0.1,6
347,sine,-11,0.2,tlda,0.25,7
348,sine,-11,0.2,tlda,0.15,8
349,sine,-11,0.2,tlda,0.15,9
350,sine,-11,0.3,tlda,0.05,0
351,sine,-11,0.3,tlda,0.15,1
352,sine,-11,0.3,tlda,0.05,2
353,sine,-11,0.3,tlda,0.05,3
354,sine,-11,0.3,tlda,0.25,4
355,sine,-11,0.3,tlda,0.05,5
356,sine,-11,0.3,tlda,0.1,6
357,sine,-11,0.3,tlda,0.1,7
358,sine,-11,0.3,tlda,0.15,8
359,sine,-11,0.3,tlda,0.1,9
360,sine,-12,0.1,tlda,0.6,0
361,sine,-12,0.1,tlda,0.6,1
362,sine,-12,0.1,tlda,0.6,2
363,sine,-12,0.1,tlda,0.6,3
364,sine,-12,0.1,tlda,0.6,4
365,sine,-12,0.1,tlda,0.7,5
366,sine,-12,0.1,tlda,0.5,6
367,sine,-12,0.1,tlda,0.55,7
368,sine,-12,0.1,tlda,0.5,8
369,sine,-12,0.1,tlda,0.5,9
370,sine,-12,0.2,tlda,0.2,0
371,sine,-12,0.2,tlda,0.25,1
372,sine,-12,0.2,tlda,0.1,2
373,sine,-12,0.2,tlda,0.15,3
374,sine,-12,0.2,tlda,0.2,4
375,sine,-12,0.2,tlda,0.15,5
376,sine,-12,0.2,tlda,0.1,6
377,sine,-12,0.2,tlda,0.2,7
378,sine,-12,0.2,tlda,0.15,8
379,sine,-12,0.2,tlda,0.15,9
380,sine,-12,0.3,tlda,0.05,0
381,sine,-12,0.3,tlda,0.15,1
382,sine,-12,0.3,tlda,0.05,2
383,sine,-12,0.3,tlda,0.05,3
384,sine,-12,0.3,tlda,0.25,4
385,sine,-12,0.3,tlda,0.05,5
386,sine,-12,0.3,tlda,0.1,6
387,sine,-12,0.3,tlda,0.1,7
388,sine,-12,0.3,tlda,0.15,8
389,sine,-12,0.3,tlda,0.1,9
390,sine,-13,0.1,tlda,0.5,0
391,sine,-13,0.1,tlda,0.55,1
392,sine,-13,0.1,tlda,0.5,2
393,sine,-13,0.1,tlda,0.5,3
394,sine,-13,0.1,tlda,0.6,4
395,sine,-13,0.1,tlda,0.65,5
396,sine,-13,0.1,tlda,0.4,6
397,sine,-13,0.1,tlda,0.5,7
398,sine,-13,0.1,tlda,0.4,8
399,sine,-13,0.1,tlda,0.5,9
400,sine,-13,0.2,tlda,0.15,0
401,sine,-13,0.2,tlda,0.2,1
402,sine,-13,0.2,tlda,0.05,2
403,sine,-13,0.2,tlda,0.1,3
404,sine,-13,0.2,tlda,0.2,4
405,sine,-13,0.2,tlda,0.15,5
406,sine,-13,0.2,tlda,0.1,6
407,sine,-13,0.2,tlda,0.15,7
408,sine,-13,0.2,tlda,0.15,8
409,sine,-13,0.2,tlda,0.1,9
410,sine,-13,0.3,tlda,0.05,0
411,sine,-13,0.3,tlda,0.15,1
412,sine,-13,0.3,tlda,0.05,2
413,sine,-13,0.3,tlda,0.05,3
414,sine,-13,0.3,tlda,0.25,4
415,sine,-13,0.3,tlda,0.05,5
416,sine,-13,0.3,tlda,0.1,6
417,sine,-13,0.3,tlda,0.1,7
418,sine,-13,0.3,tlda,0.15,8
419,sine,-13,0.3,tlda,0.1,9
420,sine,-14,0.1,tlda,0.45,0
421,sine,-14,0.1,tlda,0.45,1
422,sine,-14,0.1,tlda,0.45,2
423,sine,-14,0.1,tlda,0.5,3
424,sine,-14,0.1,tlda,0.6,4
425,sine,-14,0.1,tlda,0.65,5
426,sine,-14,0.1,tlda,0.4,6
427,sine,-14,0.1,tlda,0.5,7
428,sine,-14,0.1,tlda,0.4,8
429,sine,-14,0.1,tlda,0.45,9
430,sine,-14,0.2,tlda,0.1,0
431,sine,-14,0.2,tlda,0.2,1
432,sine,-14,0.2,tlda,0.05,2
433,sine,-14,0.2,tlda,0.1,3
434,sine,-14,0.2,tlda,0.2,4
435,sine,-14,0.2,tlda,0.1,5
436,sine,-14,0.2,tlda,0.1,6
437,sine,-14,0.2,tlda,0.15,7
438,sine,-14,0.2,tlda,0.15,8
439,sine,-14,0.2,tlda,0.1,9
440,sine,-14,0.3,tlda,0.05,0
441,sine,-14,0.3,tlda,0.15,1
442,sine,-14,0.3,tlda,0.05,2
443,sine,-14,0.3,tlda,0.05,3
444,sine,-14,0.3,tlda,0.25,4
445,sine,-14,0.3,tlda,0.05,5
446,sine,-14,0.3,tlda,0.1,6
447,sine,-14,0.3,tlda,0.1,7
448,sine,-14,0.3,tlda,0.15,8
449,sine,-14,0.3,tlda,0.1,9
450,sine,-15,0.1,tlda,0.4,0
451,sine,-15,0.1,tlda,0.45,1
452,sine,-15,0.1,tlda,0.45,2
453,sine,-15,0.1,tlda,0.4,3
454,sine,-15,0.1,tlda,0.55,4
455,sine,-15,0.1,tlda,0.5,5
456,sine,-15,0.1,tlda,0.4,6
457,sine,-15,0.1,tlda,0.4,7
458,sine,-15,0.1,tlda,0.35,8
459,sine,-15,0.1,tlda,0.4,9
460,sine,-15,0.2,tlda,0.1,0
461,sine,-15,0.2,tlda,0.2,1
462,sine,-15,0.2,tlda,0.05,2
463,sine,-15,0.2,tlda,0.1,3
464,sine,-15,0.2,tlda,0.2,4
465,sine,-15,0.2,tlda,0.1,5
466,sine,-15,0.2,tlda,0.1,6
467,sine,-15,0.2,tlda,0.15,7
468,sine,-15,0.2,tlda,0.15,8
469,sine,-15,0.2,tlda,0.1,9
470,sine,-15,0.3,tlda,0.05,0
471,sine,-15,0.3,tlda,0.15,1
472,sine,-15,0.3,tlda,0.05,2
473,sine,-15,0.3,tlda,0.05,3
474,sine,-15,0.3,tlda,0.25,4
475,sine,-15,0.3,tlda,0.05,5
476,sine,-15,0.3,tlda,0.1,6
477,sine,-15,0.3,tlda,0.1,7
478,sine,-15,0.3,tlda,0.15,8
479,sine,-15,0.3,tlda,0.05,9
480,sine,-16,0.1,tlda,0.4,0
481,sine,-16,0.1,tlda,0.45,1
482,sine,-16,0.1,tlda,0.4,2
483,sine,-16,0.1,tlda,0.4,3
484,sine,-16,0.1,tlda,0.55,4
485,sine,-16,0.1,tlda,0.45,5
486,sine,-16,0.1,tlda,0.35,6
487,sine,-16,0.1,tlda,0.4,7
488,sine,-16,0.1,tlda,0.3,8
489,sine,-16,0.1,tlda,0.35,9
490,sine,-16,0.2,tlda,0.1,0
491,sine,-16,0.2,tlda,0.2,1
492,sine,-16,0.2,tlda,0.05,2
493,sine,-16,0.2,tlda,0.1,3
494,sine,-16,0.2,tlda,0.2,4
495,sine,-16,0.2,tlda,0.05,5
496,sine,-16,0.2,tlda,0.1,6
497,sine,-16,0.2,tlda,0.15,7
498,sine,-16,0.2,tlda,0.15,8
499,sine,-16,0.2,tlda,0.1,9
500,sine,-16,0.3,tlda,0.05,0
501,sine,-16,0.3,tlda,0.15,1
502,sine,-16,0.3,tlda,0.05,2
503,sine,-16,0.3,tlda,0.05,3
504,sine,-16,0.3,tlda,0.25,4
505,sine,-16,0.3,tlda,0.05,5
506,sine,-16,0.3,tlda,0.1,6
507,sine,-16,0.3,tlda,0.1,7
508,sine,-16,0.3,tlda,0.15,8
509,sine,-16,0.3,tlda,0.05,9
510,sine,-17,0.1,tlda,0.35,0
511,sine,-17,0.1,tlda,0.4,1
512,sine,-17,0.1,tlda,0.35,2
513,sine,-17,0.1,tlda,0.25,3
514,sine,-17,0.1,tlda,0.35,4
515,sine,-17,0.1,tlda,0.4,5
516,sine,-17,0.1,tlda,0.35,6
517,sine,-17,0.1,tlda,0.4,7
518,sine,-17,0.1,tlda,0.3,8
519,sine,-17,0.1,tlda,0.3,9
520,sine,-17,0.2,tlda,0.1,0
